title,Genre,author,Read
War and Peace,Historical Fiction,Lev Nikolayevich Tolstoy,FALSE
Les Misérables,Historical Fiction,Victor Hugo,FALSE
The Time Machine,Science Fiction,H. G. Wells,FALSE
A Journey into the Center of the Earth,Science Fiction,Jules Verne,FALSE
The Dark World,Fantasy,Henry Kuttner,FALSE
The Wind in the Willows,Fantasy,Kenneth Grahame,FALSE
Life On The Mississippi,History,Mark Twain,FALSE
Childhood,Biography,Lev Nikolayevich Tolstoy,FALSE
Yoga Mind,Health & Wellness,"Suzan Colon
",TRUE
The Speed of Trust,Personal Growth,Stephen M. R. Covey,
The Four Tendencies,Personal Growth,Gretchen Rubin,FALSE
Ask.,Business,Ryan Levesque,TRUE
The Energy Bus,Personal Growth,Jon Gordon,TRUE
Attached,Relationships,Amir Levine,TRUE
Born to Win,Personal Growth,Zig Zigler,FALSE
Equipping 101,Personal Growth,John C. Maxwell,TRUE
Who Says You Can’t? You DO,Personal Growth,Daniel Chidiac,TRUE
Daring Greatly,Personal Growth,Brene Brown,FALSE
Training Camp,Business,Jon Gordon,TRUE
Atomin Habits,Personal Growth,James Clear,FALSE
Can’t Hurt Me,Personal Growth,David Goggins,TRUE
Everything’s Fucked,Personal Growth,Mark Manson,TRUE
